PROJECTID;VALUE;ASSIGNEE;IS_DERIVED;POST_CODE1;PRODUCT;AUGRU;DISCIPLINE;ZZBESTURINGSTYPE;VESTIGING
101000204212;PD226229;501065;X;3971 KW;verzwaren_compleet_vervangen;KA1;E;PROCES;S05
101000204092;PD226230;750549;X;2518 AK;verzwaren_compleet_vervangen;KA1;E+G;PROCES;S03
101000204093;PD226231;765816;X;3984 PR;aardgasloos_renoveren_laagbouw_4_uur;KA1;G;PROCES;S05
101000204154;PD226235;504250;X;3564 GX;verzwaren_zekeringwissel;KA1;E+G;PROCES;S05
101000204097;PD226237;503400;X;2995 TM;verzwaren_zekeringwissel;KA1;E+G;PROCES;S01
101000204155;PD226238;862107;X;3067 JH;verzwaren_zekeringwissel;KA1;E;PROCES;S03
101000204098;PD226241;501065;X;3824 WC;verzwaren_zekeringwissel;KA1;E+G;PROCES;S05
101000204301;PD226244;503400;X;3281 LW;verzwaren_zekeringwissel;KA1;E;PROCES;S01
000031018376;PD211042;604428;;3353 SM;;N06;E;PROJECT;S01
101000204215;PD226252;750549;X;2562 NP;verzwaren_zekeringwissel;KA1;E+G;PROCES;S03
101000204216;PD226253;603329;X;3271 TL;aardgasloos_renoveren_laagbouw_4_uur;KA1;G;PROCES;S01
101000204159;PD226255;501108;X;3125 KE;cor_oranje;KA1;E;PROCES;S03
101000204307;PD226256;501108;X;3112 VT;cor_groen;KA1;E;PROCES;S03
000031016610;PD188812;604428;;4203 NJ;;N06;E;PROJECT;S01
101000203986;PD226138;503950;;3722 JB;verplaatsen_laagbouw_oranje;KA1;E;PROCES;S05
101000203257;PD225291;500767;;2632 BA;gvb-proj._mloea_serieel_elektra_-_afname;KA1;E;PROJECT;S03
101000204135;PD226177;501701;;2986 AK;sloop_enkelvoudig_primair;KA1;E;PROCES;S01
101000204115;PD226126;504382;;4208 CP;combi_laagbouw_groen;KA1;E;PROCES;S01
101000203587;PD225700;504382;;4142 LR;combi_laagbouw_groen;KA1;E;PROCES;S01
101000203959;PD226044;504461;;3941 BZ;combi_laagbouw_groen;KA1;E;PROCES;S05
000031016720;PD189914;504449;;2913 LK;;N06;E;PROJECT;S05
000031012901;PD139293;504449;;2913 LK;;N06;E;PROJECT;S05
101000204031;PD226049;503950;X;2841 LH;sloop_enkelvoudig_primair;KA1;E;PROCES;S05
101000204126;PD226153;504015;;3701 EH;aardgasloos_renoveren_laagbouw_8_uur;KA1;G;PROCES;S05
101000192480;PD214497;604817;;3151 HW;verkoop_proces_uitvoering_projecten_verkoop_AA;KA1;E;PROJECT;S03
000031019563;PD226071;602973;;3223 KM;;K15;E;PROJECT;S01
101000203573;PD225652;503895;;2611 JX;verplaatsen_laagbouw_oranje;KA1;E+G;PROCES;S03
101000204201;PD226199;504015;;3701 GR;aardgasloos_renoveren_laagbouw_4_uur;KA1;G;PROCES;S05
000031019549;PD226276;501076;;3201 KH;;K07;E+G;PROJECT;S01
000031019550;PD226278;504449;;2913 LT;;N06;E;PROJECT;S05
101000203462;PD225446;504461;;3523 EJ;combi_laagbouw_groen;KA1;E;PROCES;S05
000031019530;PD226284;602973;;3073 AA;;K15;E;PROJECT;S01
000031016712;PD189895;504449;;2913 LL;;N06;E;PROJECT;S05
101000189554;PD211366;602973;;3201 LG;wb_>5_aanleg_e_t/m_1750kva_laagbouw_excl._net;KA1;E;PROJECT;S01
000031016693;PD189910;504449;;2913 LE;;N06;E;PROJECT;S05
